sepal_length,sepal_width,petal_length,petal_width,gold_label,target,comp1,comp2,kmeans,shift
6.4,3.1,5.5,1.8,Iris-virginica,2,1.9048629251371318,0.048047508231834485,2,3
5.1,3.7,1.5,0.4,Iris-setosa,0,-2.543234907303695,0.44003175465981553,1,1
6.3,2.8,5.1,1.5,Iris-virginica,2,1.4431026043759745,-0.14380128908272632,0,0
7.7,3.0,6.1,2.3,Iris-virginica,2,3.0765216210206616,0.6857644422460569,2,3
6.4,2.9,4.3,1.3,Iris-versicolor,1,0.7140082136428331,0.1503791531484372,0,2
5.8,2.7,5.1,1.9,Iris-virginica,2,1.4140722251737579,-0.574925055912305,0,0
4.7,3.2,1.3,0.2,Iris-setosa,0,-2.889819539617915,-0.13734560960502795,1,1
4.9,2.4,3.3,1.0,Iris-versicolor,1,-0.7514671406482265,-1.0011075129743945,0,2
7.6,3.0,6.6,2.1,Iris-virginica,2,3.396879920678137,0.5471680462301527,2,3
6.7,3.1,5.6,2.4,Iris-virginica,2,2.3143033946295484,0.1826088507936987,2,3
4.8,3.0,1.4,0.3,Iris-setosa,0,-2.715665190747454,-0.24268148289811295,1,1
5.7,2.9,4.2,1.3,Iris-versicolor,1,0.37523822894676595,-0.29162202480877986,0,2
6.9,3.2,5.7,2.3,Iris-virginica,2,2.428167259020848,0.37678197125415275,2,3
6.0,3.4,4.5,1.6,Iris-versicolor,1,0.8072054966767166,0.19505396377111156,0,0
5.0,3.4,1.6,0.4,Iris-setosa,0,-2.4690559975451225,0.13788731459041786,1,1
5.7,2.6,3.5,1.0,Iris-versicolor,1,-0.3073347556634043,-0.36508661276616045,0,2
4.5,2.3,1.3,0.3,Iris-setosa,0,-2.852211081566391,-0.9328653674695447,1,1
4.8,3.1,1.6,0.2,Iris-setosa,0,-2.5884620513033916,-0.19739307943769088,1,1
5.0,2.0,3.5,1.0,Iris-versicolor,1,-0.5110861958950902,-1.2624919538621409,0,2
6.4,2.8,5.6,2.1,Iris-virginica,2,2.1228539805083133,-0.21085488454948995,2,3
6.1,2.8,4.0,1.3,Iris-versicolor,1,0.3567865678304612,-0.06682382794136622,0,2
5.5,3.5,1.3,0.2,Iris-setosa,0,-2.625228464680421,0.6068000084215868,1,1
6.2,2.8,4.8,1.8,Iris-virginica,2,1.2576251829251364,-0.17913699742322278,0,0
5.2,4.1,1.5,0.1,Iris-setosa,0,-2.6476366733969,0.8199826325595074,1,1
4.4,3.0,1.3,0.2,Iris-setosa,0,-2.981842664853908,-0.48025004885607675,1,1
6.5,3.0,5.8,2.2,Iris-virginica,2,2.349757983950943,-0.04188254965484182,2,3
5.6,2.5,3.9,1.1,Iris-versicolor,1,0.043246400328704644,-0.5814894466123588,0,2
5.2,3.5,1.5,0.2,Iris-setosa,0,-2.56239094683675,0.37468456275010625,1,1
7.7,2.8,6.7,2.0,Iris-virginica,2,3.4992654842989572,0.4567734669640744,2,3
6.9,3.1,4.9,1.5,Iris-versicolor,1,1.464061322779075,0.504189832972453,2,0
5.0,3.0,1.6,0.2,Iris-setosa,0,-2.5079172268378804,-0.13905633991317404,1,1
7.2,3.6,6.1,2.5,Iris-virginica,2,2.9181342336442513,0.7803806293720326,2,3
